batch,record_kind,source_path,source_heading,repository,original_path,normalized_path,rule
micro-02,content-unit,templates/adr-template.md,Decisão,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,Evidências,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,Forças e restrições,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,Gatilhos para revisão,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,Justificativa,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,Opção A — Nome,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,Opção B — Nome,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,Opções consideradas,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,Riscos,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,content-unit,templates/adr-template.md,adr-template.md: Título da decisão,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,file-destination,assessments/README.md,,ai-agent-governance-framework-next,assessments/README.md,toolkit/assessments/README.md,assessment-to-toolkit
micro-02,file-destination,docs/architecture/decisions/0008-manual-documentation-site-publication.md,,ai-agent-governance-framework-next,archive/source-history/adrs/0008-manual-documentation-site-publication.md,project/history/source-repository/adrs/0008-manual-documentation-site-publication.md,archive-to-project-history
micro-02,file-destination,docs/auditability/audit-universe-crosswalk.md,,ai-agent-governance-framework-next,docs/master/07-evaluation-and-assurance.md,docs/framework/07-evaluation-evidence-and-assurance.md,canonical-framework-chapter
micro-02,file-destination,docs/auditability/audit-universe-crosswalk.md,,ai-agent-governance-implementation-template,assurance/audit-universe-crosswalk-template.md,audits/audit-universe-crosswalk-template.md,canonical-implementation-tree
micro-02,file-destination,docs/operations/kpi-kri-dashboard.md,,ai-agent-governance-framework-next,docs/master/10-metrics-learning-and-improvement.md,docs/framework/10-metrics-review-and-improvement.md,canonical-framework-chapter
micro-02,file-destination,docs/operations/kpi-kri-dashboard.md,,ai-agent-governance-implementation-template,operations/governance-dashboard-definition.md,metrics/governance-dashboard-definition.md,canonical-implementation-tree
micro-02,file-destination,docs/patterns/ai-ready-data-gate.md,,ai-agent-governance-implementation-template,data/data-source-gate-template.md,configuration/data/data-source-gate-template.md,canonical-implementation-tree
micro-02,file-destination,examples/audit-event.example.json,,ai-agent-governance-implementation-template,examples/events/audit-event.example.json,examples/fictional/events/audit-event.example.json,fictitious-example-boundary
micro-02,file-destination,schemas/README.md,,ai-agent-governance-framework-next,schemas/README.md,toolkit/schemas/README.md,schema-to-toolkit
micro-02,file-destination,specs/002-governance-contract-alignment/validation.md,,ai-agent-governance-framework-next,archive/source-history/specs/002-governance-contract-alignment/validation.md,project/history/source-repository/specs/002-governance-contract-alignment/validation.md,archive-to-project-history
